Pos,Club,Matches,Won,Drawn,Lost,GF,GA,GD,Points,,,,,,,,,,,,,
1,Mumbai City FC (Q),20,14,4,2,54,21,33,46,,,,,,,,,,,,,
2,Hyderabad FC (Q),20,13,3,4,36,16,20,42,,,,,,,,,,,,,
3,ATK Mohun Bagan (Q),20,10,4,6,24,17,7,34,,,,,,,,,,,,,
4,Bengaluru FC (Q),20,11,1,8,27,23,4,34,,,,,,,,,,,,,
5,Kerala Blasters FC (Q),20,10,1,9,28,28,0,31,,,,,,,,,,,,,
6,Odisha FC (Q),20,9,3,8,30,32,-2,30,,,,,,,,,,,,,
7,FC Goa,20,8,3,9,36,35,1,27,,,,,,,,,,,,,
8,Chennaiyin FC,20,7,6,7,36,37,-1,27,,,,,,,,,,,,,
9,East Bengal FC,20,6,1,13,22,38,-16,19,,,,,,,,,,,,,
10,Jamshedpur FC,20,5,4,11,21,32,-11,19,,,,,,,,,,,,,
11,NorthEast United FC,20,1,2,17,20,55,-35,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
